name,summary,tags,module,path
bmad-master,"Executes tasks and orchestrates workflows with comprehensive BMAD knowledge",software manager specialist,core,_bmad/core/agents/bmad-master.md
agent-builder,"Designs BMAD-compliant agents with proper personas and menu structures",software architect specialist,bmb,_bmad/bmb/agents/agent-builder.md
module-builder,"Architects complete BMAD modules with agents workflows and integrations",software architect specialist,bmb,_bmad/bmb/agents/module-builder.md
workflow-builder,"Designs efficient reliable workflows with proper state and error handling",software architect specialist,bmb,_bmad/bmb/agents/workflow-builder.md
game-architect,"Designs distributed game systems and engine architecture for all platforms",gamedev architect,bmgd,_bmad/bmgd/agents/game-architect.md
game-designer,"Creates game mechanics player psychology and systemic design experiences",gamedev designer,bmgd,_bmad/bmgd/agents/game-designer.md
game-dev,"Implements performant game code across Unity Unreal and custom engines",gamedev developer,bmgd,_bmad/bmgd/agents/game-dev.md
game-qa,"Designs automated game tests for gameplay performance and progression",gamedev tester,bmgd,_bmad/bmgd/agents/game-qa.md
game-scrum-master,"Coordinates game dev sprints translating GDDs into actionable stories",gamedev manager,bmgd,_bmad/bmgd/agents/game-scrum-master.md
game-solo-dev,"Ships complete indie games from concept to launch using Quick Flow",gamedev developer specialist,bmgd,_bmad/bmgd/agents/game-solo-dev.md
analyst,"Discovers business requirements through market research and stakeholder analysis",software analyst,bmm,_bmad/bmm/agents/analyst.md
architect,"Designs scalable distributed systems with pragmatic technology selection",software architect cloud,bmm,_bmad/bmm/agents/architect.md
dev,"Executes stories with strict AC adherence using test-first development",software developer tdd,bmm,_bmad/bmm/agents/dev.md
pm,"Creates PRDs through user interviews discovering what users actually need",software analyst manager,bmm,_bmad/bmm/agents/pm.md
quick-flow-solo-dev,"Handles Quick Flow from tech spec through implementation with minimal ceremony",software developer specialist,bmm,_bmad/bmm/agents/quick-flow-solo-dev.md
sm,"Prepares developer-ready stories with precise acceptance criteria and handoffs",software manager,bmm,_bmad/bmm/agents/sm.md
tea,"Architects test strategies with CI/CD frameworks and risk-based quality gates",software tester architect,bmm,_bmad/bmm/agents/tea.md
tech-writer,"Transforms complex concepts into accessible structured technical documentation",software writer,bmm,_bmad/bmm/agents/tech-writer.md
ux-designer,"Creates intuitive user experiences through research and interaction design",software designer,bmm,_bmad/bmm/agents/ux-designer.md
brainstorming-coach,"Facilitates breakthrough brainstorming sessions using creative techniques",creative specialist,cis,_bmad/cis/agents/brainstorming-coach.md
creative-problem-solver,"Cracks impossible challenges using TRIZ Theory of Constraints and Systems Thinking",creative analyst specialist,cis,_bmad/cis/agents/creative-problem-solver.md
design-thinking-coach,"Guides human-centered design through empathy mapping and prototyping",creative designer specialist,cis,_bmad/cis/agents/design-thinking-coach.md
innovation-strategist,"Identifies disruption opportunities and architects business model innovation",creative analyst strategy,cis,_bmad/cis/agents/innovation-strategist.md
presentation-master,"Designs compelling presentations with visual hierarchy and audience psychology",creative designer specialist,cis,_bmad/cis/agents/presentation-master.md
